time,open,high,low,close
2024-08-08 20:00:00,1.27446,1.27506,1.2742,1.27451
2024-08-09 00:00:00,1.27451,1.27583,1.27377,1.2757800000000001
2024-08-09 04:00:00,1.2757800000000001,1.27721,1.27477,1.27629
2024-08-09 08:00:00,1.2763,1.27715,1.27291,1.27406
2024-08-09 12:00:00,1.27407,1.27735,1.27258,1.27643
2024-08-09 16:00:00,1.2764199999999999,1.27697,1.27535,1.2759800000000001
2024-08-09 20:00:00,1.27596,1.2762,1.2755,1.27576
2024-08-11 20:00:00,1.27557,1.2761,1.27481,1.27485
2024-08-12 00:00:00,1.27484,1.2763200000000001,1.27467,1.2758
2024-08-12 04:00:00,1.2758,1.27821,1.27577,1.27687
2024-08-12 08:00:00,1.27689,1.27725,1.27525,1.2769300000000001
2024-08-12 12:00:00,1.2769300000000001,1.27935,1.2758,1.27722
2024-08-12 16:00:00,1.27722,1.27722,1.27552,1.27682
2024-08-12 20:00:00,1.27684,1.27706,1.27553,1.27702
2024-08-13 00:00:00,1.27702,1.27775,1.27631,1.27735
2024-08-13 04:00:00,1.27735,1.28126,1.27735,1.28088
2024-08-13 08:00:00,1.28085,1.2808899999999999,1.2779099999999999,1.27918
2024-08-13 12:00:00,1.27919,1.28373,1.27794,1.28266
2024-08-13 16:00:00,1.28267,1.28727,1.28253,1.28656
2024-08-13 20:00:00,1.28659,1.28683,1.28529,1.2864900000000001
2024-08-14 00:00:00,1.28647,1.28682,1.28535,1.28556
2024-08-14 04:00:00,1.28558,1.28628,1.28172,1.28385
2024-08-14 08:00:00,1.28383,1.28532,1.28228,1.28481
2024-08-14 12:00:00,1.28482,1.28637,1.28267,1.28475
2024-08-14 16:00:00,1.28478,1.28484,1.28206,1.2827
2024-08-14 20:00:00,1.28268,1.28314,1.28227,1.2824200000000001
2024-08-15 00:00:00,1.2824499999999999,1.28338,1.28193,1.28336
2024-08-15 04:00:00,1.28332,1.28575,1.2833,1.28501
2024-08-15 08:00:00,1.28499,1.28637,1.28399,1.2861099999999999
2024-08-15 12:00:00,1.2861099999999999,1.28716,1.27985,1.28621
2024-08-15 16:00:00,1.28623,1.2871000000000001,1.28478,1.28548
2024-08-15 20:00:00,1.28549,1.28599,1.28512,1.28586
2024-08-16 00:00:00,1.2858800000000001,1.2875,1.2857,1.28677
2024-08-16 04:00:00,1.28674,1.28861,1.28661,1.2879399999999999
2024-08-16 08:00:00,1.28796,1.29102,1.28795,1.29084
2024-08-16 12:00:00,1.29086,1.29141,1.28813,1.2904900000000001
2024-08-16 16:00:00,1.29046,1.29456,1.2904200000000001,1.29443
2024-08-16 20:00:00,1.2944200000000001,1.29458,1.29409,1.29443
2024-08-18 20:00:00,1.29319,1.2950599999999999,1.29309,1.29461
2024-08-19 00:00:00,1.29459,1.29602,1.29423,1.29539
2024-08-19 04:00:00,1.29536,1.2968600000000001,1.29516,1.29646
2024-08-19 08:00:00,1.29647,1.29751,1.29422,1.29569
2024-08-19 12:00:00,1.2957,1.29969,1.29395,1.29795
2024-08-19 16:00:00,1.29793,1.29959,1.29729,1.2989600000000001
2024-08-19 20:00:00,1.2989899999999999,1.2993700000000001,1.29856,1.29889
2024-08-20 00:00:00,1.29891,1.2993000000000001,1.29769,1.29782
2024-08-20 04:00:00,1.29783,1.30038,1.29741,1.30023
2024-08-20 08:00:00,1.30026,1.30154,1.29914,1.30075
2024-08-20 12:00:00,1.30073,1.30521,1.30064,1.30255
2024-08-20 16:00:00,1.30257,1.30354,1.30172,1.30324
2024-08-20 20:00:00,1.30323,1.30356,1.30281,1.30337
2024-08-21 00:00:00,1.30335,1.3038,1.30231,1.3027
2024-08-21 04:00:00,1.30268,1.30312,1.30102,1.3014999999999999
